"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
20141008,24.59,25.135,25.7866666666667,26.4140002,26.4500001428571,26.945
20141009,23.08,23.835,24.45,25.672,25.8985714285714,26.4140001
20141010,21.58,22.33,23.0833333333333,24.404,25.247143,25.7570001
20141013,21.35,21.465,22.0033333333333,23.256,24.47,25.1160001
20141014,21.299999,21.3249995,21.4099996666667,22.3799998,23.5242855714286,24.5519999
20141015,24.67,22.9849995,22.4399996666667,22.3959998,23.1785712857143,24.405
20141016,27,25.835,24.323333,23.1799998,23.3671427142857,24.4259999
20141017,26.110001,26.5550005,25.926667,24.086,23.5842857142857,24.245
20141020,26.24,26.1750005,26.4500003333333,25.064,24.0357142857143,24.16
20141021,26.57,26.405,26.306667,26.1180002,24.7485714285714,24.249
20141022,25.23,25.9,26.0133333333333,26.2300002,25.3028571428571,24.313
20141023,25.969999,25.5999995,25.923333,26.024,25.97,24.6019999
20141024,24.99,25.4799995,25.3966663333333,25.7999998,26.0157142857143,24.9429999
20141027,24.450001,24.7200005,25.1366666666667,25.442,25.6514287142857,25.253
20141028,24.99,24.7200005,24.8100003333333,25.126,25.4914285714286,25.6220001
20141029,25.59,25.29,25.0100003333333,25.198,25.3985714285714,25.7140001
20141030,25.879999,25.7349995,25.4866663333333,25.18,25.2999998571429,25.602
20141031,27.709999,26.794999,26.3933326666667,25.7239998,25.6542854285714,25.7619998
20141103,27.969999,27.839999,27.1866656666667,26.4279994,25.9399997142857,25.9349997
20141104,27.360001,27.665,27.6799996666667,26.9019996,26.2785712857143,26.0139998
20141105,25.99,26.6750005,27.1066666666667,26.9819996,26.4985711428571,26.0899998
20141106,26.559999,26.2749995,26.6366666666667,27.1179996,26.7228567142857,26.1489998
20141107,24.700001,25.63,25.75,26.516,26.595714,26.1199999
20141110,25.5,25.1000005,25.5866666666667,26.0220002,26.5414284285714,26.2249998
20141111,26.68,26.09,25.626667,25.886,26.3942857142857,26.3939998
20141112,27.6,27.14,26.5933333333333,26.208,26.3414287142857,26.5949998
20141113,26.040001,26.8200005,26.7733336666667,26.1040004,26.1528572857143,26.611
20141114,26.65,26.3450005,26.7633336666667,26.4940002,26.247143,26.5050001
20141117,24.379999,25.5149995,25.69,26.27,25.9357144285714,26.1460001
20141118,24.41,24.3949995,25.1466663333333,25.816,25.8942857142857,25.851
20141119,22.459999,23.4349995,23.7499993333333,24.7879998,25.4599998571429,25.4979999
20141120,22.82,22.6399995,23.2299996666667,24.1439996,24.9085712857143,25.124
20141121,24.879999,23.8499995,23.386666,23.7899994,24.5199997142857,25.1419998
20141124,26.35,25.6149995,24.683333,24.1839996,24.5642852857143,25.2269998
20141125,27.27,26.81,26.1666663333333,24.7559996,24.6528567142857,25.2859998
